deputy_id,first_name,last_name,full_name,party_id,party_name,party_code,party_color,circuit,seat,gender,is_suplente,principal_id,principal_name
4,MARCOS ENRIQUE,CASTILLERO BARAHONA,MARCOS ENRIQUE CASTILLERO BARAHONA,2,Partido Revolucionario Democrático,PRD,#3a21f2,6-3,60,M,False,,
7,ROBERTO,ABREGO TORRES,ROBERTO ABREGO TORRES,2,Partido Revolucionario Democrático,PRD,#3a21f2,8-5,46,M,False,,
9,FATIMA,AGRAZAL GUIRAUD,FATIMA AGRAZAL GUIRAUD,1,Partido Cambio Democratico,CD,#8CBFCB,9-1,37,M,False,,
11,FRANCISCO JOS,ALEMAN MENDOZA,FRANCISCO JOS ALEMAN MENDOZA,3,Partido Molirena,MO,#fafe16,8-6,68,M,False,,
12,RONY RONALD,ARAUZ GONZALEZ,RONY RONALD ARAUZ GONZALEZ,1,Partido Cambio Democratico,CD,#8CBFCB,4-3,53,M,False,,
17,ITZI NAILYN,ATENCIO GONZALEZ,ITZI NAILYN ATENCIO GONZALEZ,5,Partido Panameñista,PN,#8c38b2,8-6,21,M,False,,
18,LEANDRO,AVILA,LEANDRO AVILA,2,Partido Revolucionario Democrático,PRD,#3a21f2,8-6,62,M,False,,
21,LILIA E.,BATISTA DE GUERRA,LILIA E. BATISTA DE GUERRA,7,Realizando Metas,RM,#33B8FF,13-4,13,M,False,,
22,ADAN,BEJERANO RIOS,ADAN BEJERANO RIOS,4,VAMOS,VA,#865809,12-2,19,M,False,,
28,ERIC ARIEL,BROCE ESPINO,ERIC ARIEL BROCE ESPINO,2,Partido Revolucionario Democrático,PRD,#3a21f2,7-1,59,M,False,,
29,EDISON AUGUSTO,BROCE URRIOLA,EDISON AUGUSTO BROCE URRIOLA,4,VAMOS,VA,#865809,8-8,11,M,False,,
31,LUIS ERNESTO,CARLES RUDY,LUIS ERNESTO CARLES RUDY,5,Partido Panameñista,PN,#8c38b2,2-3,32,M,False,,
33,ALEJANDRO MAGNO,CASTILLERO PINILLA,ALEJANDRO MAGNO CASTILLERO PINILLA,2,Partido Revolucionario Democrático,PRD,#3a21f2,6-1,31,M,False,,
35,ALAIN ALBENIS,CEDEÑO HERRERA,ALAIN ALBENIS CEDEÑO HERRERA,7,Realizando Metas,RM,#33B8FF,8-6,31,M,False,,
36,EVERARDO,CONCEPCIÓN SANTAMARIA,EVERARDO CONCEPCIÓN SANTAMARIA,5,Partido Panameñista,PN,#8c38b2,4-2,20,M,False,,
37,MAYIN,CORREA DELGADO,MAYIN CORREA DELGADO,1,Partido Cambio Democratico,CD,#8CBFCB,8-8,39,M,False,,
39,OLIVARES,DE FRIAS FRIAS,OLIVARES DE FRIAS FRIAS,2,Partido Revolucionario Democrático,PRD,#3a21f2,7-2,43,M,False,,
40,HERNAN,DELGADO QUINTERO,HERNAN DELGADO QUINTERO,1,Partido Cambio Democratico,CD,#8CBFCB,8-4,75,M,False,,
41,ARNULFO,DIAZ DE LEON,ARNULFO DIAZ DE LEON,1,Partido Cambio Democratico,CD,#8CBFCB,5-1,57,M,False,,
42,JUAN ALBERTO,ESQUIVEL SANTAMARIA,JUAN ALBERTO ESQUIVEL SANTAMARIA,2,Partido Revolucionario Democrático,PRD,#3a21f2,4-3,15,M,False,,
44,RAUL ANTONIO,FERNANDEZ DE MARCO,RAUL ANTONIO FERNANDEZ DE MARCO,4,VAMOS,VA,#865809,8-8,18,M,False,,
45,SERGIO RAFAEL,GALVEZ EVERS,SERGIO RAFAEL GALVEZ EVERS,1,Partido Cambio Democratico,CD,#8CBFCB,8-7,76,M,False,,
47,BERNARDINO,GONZALEZ GONZALEZ,BERNARDINO GONZALEZ GONZALEZ,5,Partido Panameñista,PN,#8c38b2,2-4,23,M,False,,
48,GONZALO GASPAR,GONZALEZ MENDIZABAL,GONZALO GASPAR GONZALEZ MENDIZABAL,2,Partido Revolucionario Democrático,PRD,#3a21f2,4-4,44,M,False,,
49,NESTOR ANTONIO,GUARDIA JAEN,NESTOR ANTONIO GUARDIA JAEN,2,Partido Revolucionario Democrático,PRD,#3a21f2,2-1,65,M,False,,
51,MELCHOR,HERRERA ESPINOZA,MELCHOR HERRERA ESPINOZA,2,Partido Revolucionario Democrático,PRD,#3a21f2,2-2,17,M,False,,
52,JOSE MARIA,HERRERA OCAÑA,JOSE MARIA HERRERA OCAÑA,1,Partido Cambio Democratico,CD,#8CBFCB,8-3,58,M,False,,
54,MARIANO,LOPEZ AMADOR,MARIANO LOPEZ AMADOR,2,Partido Revolucionario Democrático,PRD,#3a21f2,3-1,8,M,False,,
55,HUGO,MENDEZ LIZONDRO,HUGO MENDEZ LIZONDRO,5,Partido Panameñista,PN,#8c38b2,4-1,22,M,False,,
57,RAUL GILBERTO,PINEDA VERGARA,RAUL GILBERTO PINEDA VERGARA,2,Partido Revolucionario Democrático,PRD,#3a21f2,8-6,48,M,False,,
58,DANIEL,RAMOS TUÑON,DANIEL RAMOS TUÑON,2,Partido Revolucionario Democrático,PRD,#3a21f2,2-1,29,M,False,,
59,BENICIO ENACIO,ROBINSON GRAJALES,BENICIO ENACIO ROBINSON GRAJALES,2,Partido Revolucionario Democrático,PRD,#3a21f2,1-1,67,M,False,,
60,YESENIA ESTHER,RODRIGUEZ FLORES,YESENIA ESTHER RODRIGUEZ FLORES,5,Partido Panameñista,PN,#8c38b2,8-1,33,M,False,,
61,ZULAY LEYSET,RODRIGUEZ LU,ZULAY LEYSET RODRIGUEZ LU,2,Partido Revolucionario Democrático,PRD,#3a21f2,8-6,60,M,False,,
63,ANA GISELLE,ROSAS MATA,ANA GISELLE ROSAS MATA,1,Partido Cambio Democratico,CD,#8CBFCB,4-6,50,M,False,,
64,MANOLO ENRIQUE,RUIZ CASTILLO,MANOLO ENRIQUE RUIZ CASTILLO,3,Partido Molirena,MO,#fafe16,4-5,70,M,False,,
