report_id,report_title,report_description,is_private,session_id,session_type,session_number,session_date,session_start,session_end,num_votings,created_at
106,Sesion permantente del 5 de Abril,,False,61,4,1,2021-04-05,2021-04-05T19:46:26.000Z,2021-04-06T19:32:48.000Z,3,2021-04-19T20:55:59.000Z
109,Sesión ordinaria del 7  de abril,,False,67,Ordinaria,1,2021-04-07,2021-04-07T18:10:50.000Z,2021-04-07T22:39:29.000Z,5,2021-04-19T21:02:39.000Z
112,Sesión ordinaria 8 de abril,,False,70,Ordinaria,1,2021-04-08,2021-04-08T17:52:24.000Z,2021-04-08T19:14:34.000Z,2,2021-04-19T21:06:46.000Z
118,Sesion Permanente 12 de abril,,False,73,4,1,2021-04-12,2021-04-12T20:05:39.000Z,2021-04-14T21:47:33.000Z,8,2021-04-19T21:13:59.000Z
121,Sesión permanente 15 de abril,,False,85,4,1,2021-04-15,2021-04-15T17:10:02.000Z,2021-04-15T22:22:15.000Z,5,2021-04-19T21:18:10.000Z
127,Sesion del 19 de abril 2019,,False,88,4,1,2021-04-19,2021-04-19T19:23:47.000Z,2021-04-20T21:49:33.000Z,10,2021-04-26T02:16:41.000Z
133,Sesión Permanente 21 de abril,,False,94,4,1,2021-04-21,2021-04-21T17:14:54.000Z,2021-04-26T21:35:10.000Z,13,2021-04-29T20:59:48.000Z
136,Sesión Permanente del 26 abril,,False,100,4,1,2021-04-26,2021-04-26T21:45:10.000Z,2021-04-27T17:19:55.000Z,4,2021-04-29T21:01:43.000Z
139,Sesión Permanente del 27 Abril,,False,103,4,1,2021-04-27,2021-04-27T17:51:30.000Z,2021-04-28T21:54:46.000Z,14,2021-04-29T21:19:04.000Z
176,Sesion ordinario 29 de abril,,False,109,4,1,2021-04-29,2021-04-29T18:12:56.000Z,2021-04-29T22:38:37.000Z,10,2021-07-07T20:38:47.000Z
179,Reporte del 7 Julio,,False,137,Ordinaria,1,2021-07-07,2021-07-07T20:06:14.000Z,2021-07-07T23:28:38.000Z,1,2021-07-12T15:09:26.000Z
182,Reporte 8 de julio,,False,140,Ordinaria,1,2021-07-08,2021-07-08T14:59:07.000Z,2021-07-08T15:56:44.000Z,1,2021-07-12T15:11:16.000Z
191,Sesion ordinaria del 13 de julio del 2021,,False,146,Ordinaria,1,2021-07-13,2021-07-13T20:04:46.000Z,2021-07-14T18:13:22.000Z,1,2021-07-19T22:12:49.000Z
194,Sesion ordinaria del 14 de julio del 2021,,False,149,Ordinaria,1,2021-07-14,2021-07-14T20:28:05.000Z,2021-07-14T22:41:41.000Z,2,2021-07-19T22:14:51.000Z
197,Sesion ordinaria del 15 de julio del 2021,,False,152,Ordinaria,1,2021-07-15,2021-07-15T14:10:13.000Z,2021-07-15T16:11:42.000Z,2,2021-07-19T22:16:17.000Z
200,Sesion ordinaria del 19 del 2021,,False,155,Ordinaria,1,2021-07-19,2021-07-19T20:04:03.000Z,2021-07-20T19:54:37.000Z,3,2021-07-26T22:29:40.000Z
203,Sesion Ordinaria del 20 de julio del 2021,,False,161,Ordinaria,1,2021-07-20,2021-07-20T20:22:11.000Z,2021-07-20T22:12:20.000Z,1,2021-07-26T22:31:25.000Z
215,Sesión Ordinaria 26 de julio 2021,,False,170,Ordinaria,1,2021-07-26,2021-07-26T20:52:45.000Z,2021-07-26T22:51:11.000Z,3,2021-08-16T21:03:31.000Z
218,Sesión Ordinaria del 27 de Julio del 2021,,False,173,Ordinaria,1,2021-07-27,2021-07-27T20:30:51.000Z,2021-07-28T18:03:50.000Z,2,2021-08-16T21:05:34.000Z
221,Sessión ordinaria del 28 de julio del 2021,,False,176,Ordinaria,1,2021-07-28,2021-07-28T20:14:31.000Z,2021-07-29T13:50:30.000Z,3,2021-08-16T21:07:08.000Z
224,Sesión ordinaria del 2 de Agosto del 2021,,False,182,Ordinaria,1,2021-08-02,2021-08-02T20:27:47.000Z,2021-08-03T19:21:23.000Z,2,2021-08-16T21:21:06.000Z
230,Sesión ordinaria del 4 de Agosto del 2021,,False,188,Ordinaria,1,2021-08-04,2021-08-04T20:26:47.000Z,2021-08-05T14:17:18.000Z,3,2021-08-16T21:24:33.000Z
233,Sesión ordinaria del 5 Agosto 2021,,False,191,Ordinaria,1,2021-08-05,2021-08-05T14:31:27.000Z,2021-08-05T17:34:28.000Z,2,2021-08-16T21:27:37.000Z
