voting_id,report_id,session_id,session_date,session_type,voting_title,voting_description,is_secret,voting_status,voting_start,voting_end,point_id
136,106,61,2021-04-05,4,Segundo debate proyecto de Ley 200,Nata capital de la cultura y de la historia,False,3,2021-04-06T18:42:02.000Z,2021-04-06T18:53:31.000Z,5749
139,106,61,2021-04-05,4,Segundo Debate proyecto de Ley 102,Beneficios economicos a menores,False,3,2021-04-06T19:09:48.000Z,2021-04-06T19:14:46.000Z,5752
142,106,61,2021-04-05,4,Segundo debate proyecto de ley 464,Movilidad Ciclismo,False,3,2021-04-06T19:28:01.000Z,2021-04-06T19:31:31.000Z,5755
145,109,67,2021-04-07,Ordinaria,Tercer debate proyecto de ley 200,Nata ciudad histórica,False,3,2021-04-07T20:25:07.000Z,2021-04-07T20:28:17.000Z,6430
148,109,67,2021-04-07,Ordinaria,Tercer Debate proyecto de Ley 102,Beneficios económicos a los infantes de 0 a 3 años,False,3,2021-04-07T20:41:22.000Z,2021-04-07T20:43:29.000Z,6433
151,109,67,2021-04-07,Ordinaria,Tercer debate proyecto de Ley 464,Movilidad de ciclismo,False,3,2021-04-07T21:04:04.000Z,2021-04-07T21:07:33.000Z,6436
154,109,67,2021-04-07,Ordinaria,Segundo debate proyecto del Ley 94,"Que modifica la Ley 56 de 2008, General de Puertos de Panamá",False,3,2021-04-07T21:29:05.000Z,2021-04-07T21:33:08.000Z,6637
157,109,67,2021-04-07,Ordinaria,Elección del Defensor del pueblo,,False,3,2021-04-07T22:21:59.000Z,2021-04-07T22:24:52.000Z,6772
163,112,70,2021-04-08,Ordinaria,Segundo debate Proyecto de ley No. 460 (Objetado),Que concede una amnistía para el pago total de las cuotas,False,3,2021-04-08T18:39:34.000Z,2021-04-08T18:46:39.000Z,7138
160,112,70,2021-04-08,Ordinaria,Segundo Debate Proyecto de ley 440 (objetado),Que dicta medidas para el abordaje integral de la endometriosis y normas de protección laboral.,False,3,2021-04-08T19:07:52.000Z,2021-04-08T19:14:08.000Z,7141
175,118,73,2021-04-12,4,Citación Ministro de Turismo,,False,3,2021-04-12T22:13:55.000Z,2021-04-12T22:16:14.000Z,7162
169,118,73,2021-04-12,4,Tercer debate del proyecto de Ley 440,Endometriosis,False,3,2021-04-12T22:36:53.000Z,2021-04-12T22:38:35.000Z,7165
172,118,73,2021-04-12,4,Tercer debate proyecto de Ley 94,Adiciona artículos a ley 56 de 2008,False,3,2021-04-12T22:56:31.000Z,2021-04-12T22:57:44.000Z,7168
