deputy_id,first_name,last_name,full_name,party_id,party_code,party_name,party_color,circuit,seat,gender,is_suplente,principal_id,principal_name
183,ABEL,"BEKER ABREGO","ABEL BEKER ABREGO",2,PRD,"Partido Revolucionario Democrático",#3a21f2,1-1,14,M,0,,""
252,"ABELARDO E.","ANTONIO QUIJANO","ABELARDO E. ANTONIO QUIJANO",1,CD,"Partido Cambio Democratico",#8CBFCB,3-1,36,M,1,190,"LEOPOLDO LUIS BENEDETTI MILLIGAN"
22,ADAN,"BEJERANO RIOS","ADAN BEJERANO RIOS",4,VA,VAMOS,#865809,12-2,19,M,0,,""
257,"ADOLFO O.","VARGAS OPORTA","ADOLFO O. VARGAS OPORTA",1,CD,"Partido Cambio Democratico",#8CBFCB,8-9,52,M,1,193,"GENESIS ARJONA"
260,"AGUSTÍN R.","SELLHORN CARRILLO","AGUSTÍN R. SELLHORN CARRILLO",1,CD,"Partido Cambio Democratico",#8CBFCB,8-1,56,M,1,76,"MARYLIN E VALLARINO B"
35,"ALAIN ALBENIS","CEDEÑO HERRERA","ALAIN ALBENIS CEDEÑO HERRERA",7,RM,"Realizando Metas",#33B8FF,8-6,31,M,0,,""
230,"ALEJANDRA A","ÁBREGO CARREÑO","ALEJANDRA A ÁBREGO CARREÑO",2,PRD,"Partido Revolucionario Democrático",#3a21f2,8-5,46,M,1,7,"ROBERTO ABREGO TORRES"
33,"ALEJANDRO MAGNO","CASTILLERO PINILLA","ALEJANDRO MAGNO CASTILLERO PINILLA",2,PRD,"Partido Revolucionario Democrático",#3a21f2,6-1,31,M,0,,""
232,"ALEXIS A.","AYALA BAZÁN,","ALEXIS A. AYALA BAZÁN,",2,PRD,"Partido Revolucionario Democrático",#3a21f2,8-6,48,M,1,57,"RAUL GILBERTO PINEDA VERGARA"
188,"ALINA INES","GONZALEZ CORDOBA","ALINA INES GONZALEZ CORDOBA",2,PRD,"Partido Revolucionario Democrático",#3a21f2,8-9,24,M,0,,""
63,"ANA GISELLE","ROSAS MATA","ANA GISELLE ROSAS MATA",1,CD,"Partido Cambio Democratico",#8CBFCB,4-6,50,M,0,,""
268,"ANA I.","DELGADO GUERRA","ANA I. DELGADO GUERRA",1,CD,"Partido Cambio Democratico",#8CBFCB,8-4,75,M,1,40,"HERNAN DELGADO QUINTERO"
222,"ANABELA M.",LOMBARDO,"ANABELA M. LOMBARDO",2,PRD,"Partido Revolucionario Democrático",#3a21f2,2-1,29,M,1,58,"DANIEL RAMOS TUÑON"
246,"ANDRÉS E.","CAMARGO VERGARA","ANDRÉS E. CAMARGO VERGARA",5,PN,"Partido Panameñista",#8c38b2,8-6,21,M,1,17,"ITZI NAILYN ATENCIO GONZALEZ"
261,ANTONIO,"CARAQUITO PEREA","ANTONIO CARAQUITO PEREA",1,CD,"Partido Cambio Democratico",#8CBFCB,5-1,57,M,1,41,"ARNULFO DIAZ DE LEON"
247,"ARIANA M","COBA MARTÍNEZ","ARIANA M COBA MARTÍNEZ",5,PN,"Partido Panameñista",#8c38b2,4-1,22,M,1,55,"HUGO MENDEZ LIZONDRO"
267,"ARIEL A","ORTEGA DE LEÓN","ARIEL A ORTEGA DE LEÓN",7,RM,"Realizando Metas",#33B8FF,8-5,13,M,1,21,"LILIA E. BATISTA DE GUERRA"
192,"ARIEL ANTONIO","ALBA PEÑALBA","ARIEL ANTONIO ALBA PEÑALBA",2,PRD,"Partido Revolucionario Democrático",#3a21f2,9-2,65,M,0,,""
41,ARNULFO,"DIAZ DE LEON","ARNULFO DIAZ DE LEON",1,CD,"Partido Cambio Democratico",#8CBFCB,5-1,57,M,0,,""
205,ARQUESIO,"ARIAS FELIX","ARQUESIO ARIAS FELIX",2,PRD,"Partido Revolucionario Democrático",#3a21f2,10-2,47,M,0,,""
