vote_id,report_id,session_id,session_date,session_type,voting_id,voting_title,question_id,question_text,question_passed,votes_needed,total_a_favor,total_en_contra,total_abstencion,deputy_id,deputy_name,party_code,party_name,circuit,seat,vote,vote_type,is_suplente,suplente_of
1678340,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85304,"Título Original: Que modifica un artículo del Código Penal.",0,36,30,13,2,589,"Alberto Navarro",PN,"Partido Panameñista",13-3,68,"A favor",a_favor,1,"Edwin Antonio Vergara Castillo"
1678337,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85301,"Artículo Original 3",0,36,30,13,2,589,"Alberto Navarro",PN,"Partido Panameñista",13-3,68,"A favor",a_favor,1,"Edwin Antonio Vergara Castillo"
1678334,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85298,"Artículo Original 2",0,36,31,12,2,589,"Alberto Navarro",PN,"Partido Panameñista",13-3,68,"A favor",a_favor,1,"Edwin Antonio Vergara Castillo"
1678331,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85295,"Artículo Original 1",0,36,31,12,2,589,"Alberto Navarro",PN,"Partido Panameñista",13-3,68,"A favor",a_favor,1,"Edwin Antonio Vergara Castillo"
1678148,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85304,"Título Original: Que modifica un artículo del Código Penal.",0,36,30,13,2,364,"Alexandra Maria Brenes Samaniego",VA,VAMOS,8-2,21,"A favor",a_favor,0,""
1678145,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85301,"Artículo Original 3",0,36,30,13,2,364,"Alexandra Maria Brenes Samaniego",VA,VAMOS,8-2,21,"A favor",a_favor,0,""
1678142,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85298,"Artículo Original 2",0,36,31,12,2,364,"Alexandra Maria Brenes Samaniego",VA,VAMOS,8-2,21,"A favor",a_favor,0,""
1678139,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85295,"Artículo Original 1",0,36,31,12,2,364,"Alexandra Maria Brenes Samaniego",VA,VAMOS,8-2,21,"A favor",a_favor,0,""
1678604,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85304,"Título Original: Que modifica un artículo del Código Penal.",0,36,30,13,2,292,"Ariana Marisin Coba",PN,"Partido Panameñista",4-3,50,"A favor",a_favor,0,""
1678601,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85301,"Artículo Original 3",0,36,30,13,2,292,"Ariana Marisin Coba",PN,"Partido Panameñista",4-3,50,"A favor",a_favor,0,""
1678598,3110,2360,2026-02-24,Ordinaria,6014,"Segundo debate al proyecto de Ley N° 187",85298,"Artículo Original 2",0,36,31,12,2,292,"Ariana Marisin Coba",PN,"Partido Panameñista",4-3,50,"A favor",a_favor,0,""
